ds,yhat,yhat_lower,yhat_upper
2023-12-18 18:30:00,21429.266191995615,20979.25484695416,21856.54624990854
2023-12-19 18:30:00,21431.96228439503,21006.97914240854,21855.2373920779
2023-12-20 18:30:00,21449.534923531464,21025.88308475914,21859.207498342344
2023-12-21 18:30:00,21521.22976696128,21085.046410001232,21961.965829345743
2023-12-25 18:30:00,21488.47148962882,21046.34588334243,21897.980885268913
2023-12-26 18:30:00,21491.167582028243,21067.570962628255,21929.649068100327
2023-12-27 18:30:00,21508.740221164764,21058.79970213642,21910.067866651607
2023-12-28 18:30:00,21580.435064594494,21153.11346758952,21964.752355767174
2023-12-31 18:30:00,21596.108190779498,21179.11118582155,22016.754007935917
2024-01-01 18:30:00,21547.676787694607,21096.85167826855,21986.435543099302
2024-01-02 18:30:00,21550.372880526735,21153.57778976848,21970.256123374278
2024-01-03 18:30:00,21567.945520095924,21134.972628758384,21974.607372673883
2024-01-04 18:30:00,21639.64036395826,21200.459726385485,22042.881045492897
2024-01-07 18:30:00,21655.313491441386,21235.724463315102,22053.894667723853
2024-01-08 18:30:00,21606.882088356288,21184.80300347935,22035.992196931995
2024-01-09 18:30:00,21609.57818118847,21169.960522579757,22031.360618653347
2024-01-10 18:30:00,21627.150820757677,21176.335479003254,22059.923884616826
2024-01-11 18:30:00,21698.84566460031,21247.690823054905,22150.229108136
2024-01-14 18:30:00,21714.51879202408,21284.708584397107,22137.703212421664
2024-01-15 18:30:00,21666.087388919175,21223.518636539113,22078.76739992515
2024-01-16 18:30:00,21668.783481731647,21263.88942345353,22110.517222930983
2024-01-17 18:30:00,21686.356121281213,21267.261910233952,22137.299417331382
2024-01-18 18:30:00,21758.050965123606,21338.51681552345,22181.532450176375
2024-01-22 18:30:00,21725.29268944261,21278.500213709794,22146.942238864125
2024-01-23 18:30:00,21727.988782255077,21308.99161590037,22170.926650882244
2024-01-24 18:30:00,21745.561422611107,21316.03946175145,22173.92834349798
2024-01-28 18:30:00,21832.929397103184,21416.873468692014,22274.755057403407
2024-01-29 18:30:00,21784.49799480466,21351.26577928518,22189.691758063113
2024-01-30 18:30:00,21787.194088423726,21380.219057436392,22231.005345648005
2024-01-31 18:30:00,21804.766728779585,21376.738209154704,22234.84427150561
2024-02-01 18:30:00,21876.461573428674,21444.954455397106,22303.271054105047
2024-02-04 18:30:00,21892.134703271742,21487.43040363318,22301.218521279487
2024-02-05 18:30:00,21843.70330065123,21422.15463685303,22285.822335053137
2024-02-06 18:30:00,21846.39939394771,21436.374136720624,22286.392141388063
2024-02-07 18:30:00,21863.972033981256,21467.162402914353,22329.487221697575
2024-02-08 18:30:00,21935.66687830807,21510.643346844583,22365.62437998673
2024-02-11 18:30:00,21951.340007184237,21564.77074316659,22373.5446267639
2024-02-12 18:30:00,21902.90860456351,21477.71928130652,22349.841751337306
2024-02-13 18:30:00,21905.60469786005,21492.5538218213,22357.38019635291
